epoch,acc,loss,val_acc,val_loss
0,0.9661047,0.0016859890036731281,0.9901691675186157,0.00016747118110761898
1,0.9802331,0.0005733722938464507,0.9881451725959778,0.00021831669805606982
2,0.98180735,0.0005087910240177061,0.9894462823867798,0.0001360426271916687
3,0.9836226,0.00046856083471221187,0.9916871190071106,0.00011910682356403649
4,0.98368686,0.0004634922443023915,0.9917594194412231,0.00011983449910537811
5,0.98488367,0.00042702855374262405,0.9900245666503906,0.00011698092498850682
6,0.9851407,0.00041740127401198056,0.9921931624412537,0.00011137690383015807
7,0.98560655,0.00041416055207591873,0.9919040203094482,0.00011147824865673639
8,0.9854218,0.0004106648466824631,0.9917594194412231,0.0001040676617172575
9,0.9855021,0.0004071058543832507,0.9904583096504211,0.00011682182233969795
10,0.98584753,0.00040251150220142913,0.9921931624412537,0.00011300933077162999
11,0.9854459,0.0004011419174726917,0.9925546050071716,0.00010647340712264892
